id,name,image,description,category,sub_category,main_category,top_seller,price
1,"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",/images/products/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm~8801000500000_01c_bq_$MOB_PREV$&$width=500&$height=500.png,The Aurora worktop has a beautiful white marble effect and is ideal for creating a modern kitchen. Combine with the Aurora white upstand to complete the look.,Kitchen worktops,kitchen,kitchen_bathroom,0,597.0
2,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-chamomile-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm~8801000042999_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,"This chamomile cream stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. There are a wide range of options to suit your style and home, they also compliment the GoodHome doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained. It is waterproof, durable and easy to maintain. This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost",Kitchen worktops,kitchen,kitchen_bathroom,0,548.0
3,"HI-MACS 20mm Matt Diamond white Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-diamond-white-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm~8801000042982_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,"This diamond white stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. There are a wide range of options to suit your style and home, they also compliment the GoodHome doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained. It is waterproof, durable and easy to maintain. This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost",Kitchen worktops,kitchen,kitchen_bathroom,0,548.0
4,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",/images/products/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can~5011734010628_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Frostproofer & Accelerator accelerates the setting of mortar mixes year round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Plasticises and accelerates setting time of mortar mixes. Chloride free, ideal for mortars with embedded metal. Ideal for Winter & cold weather use",Additives & chemicals,building_supplies,building_hardware,0,8.45
5,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",/images/products/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg~5055492703040_02c_$MOB_PREV$&$width=500&$height=500.png,"This latex-based, water resistant bonding agent & admixture from Sika is suitable for use in areas which will be subject to high levels of humidity, dampness and continuous water contact. Improves water resistance of cement mixtures by forming a reinforcing polymer that increases long term durability and flexibility of the mix on renderings and floor screeds. Uses include: As an admixture for mortar/screeds/renders, as a bonding agent for screeds/renders, as a primer/sealer in tiling applications & as a flexibiliser for cementitious-based tile adhesive when tiling on wooden/asphalt floors. Excellent resistance to water and water vapourA high level of resistance to salt permeation. Reduced water:cement ratio for equivalent workability. Improved frost resistance & freeze thaw stable",Additives & chemicals,building_supplies,building_hardware,0,35.0
6,"Blue Circle Hydrated lime, 25kg Bag",/images/products/blue-circle-hydrated-lime-25kg-bag~5018719500099_08c_$MOB_PREV$&$width=500&$height=500.png,"Blue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & renders. Preparation: 1 part Portland cement, 1 part hydralime & 5 to 6 parts sand. Fine, white, dry powder which lightens and brightens mortarsA high calcium, non hydraulic, hydrated lime. Makes floating renders and pointing mortars easier. Hydralime can be used for traditional nominal mixes for mortars and renders in conjunction with standard Portland based cements or in lime-washes without cement",Additives & chemicals,building_supplies,building_hardware,1,17.42
7,"Sika Clear Masonry waterproofer, 5L Jerry can",/images/products/sika-clear-masonry-waterproofer-5l-jerry-can~5055492702975_02c_$MOB_PREV$&$width=500&$height=500.png,This ready to use Sikagard facade from Sika is a water based impregnation emulsion. Sikagard Facade makes walls and facades water repellent and provides long lasting protection against water ingress. Strong water repellent capability. Water-based and environmental friendly.,Additives & chemicals,building_supplies,building_hardware,0,22.0
8,Sika Sikacem White PVA primer & sealer 5L,/images/products/sika-sikacem-white-pva-primer-sealer-5l~5055492703033_02c_$MOB_PREV$&$width=500&$height=500.png,"This SikaCem® PVA is a water based, multi purpose, economic adhesive, sealer and mortar admixture.",Additives & chemicals,building_supplies,building_hardware,0,45.0
9,"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",/images/products/bostik-smart-adhesives-dark-brown-mortar-plasticiser-5l-plastic-jerry-can~5011734021389_01c_bq_$MOB_PREV$&$width=500&$height=500.png,Bostik Mortar Plasticiser improves the workability of mortar without the addition of lime. It helps reduce grittiness to provide a smooth mortar with improved durability and protection against frost. It also reduces the water content of the mortar. Improves workability and durability of mortar. Reduces water content of mortar.,Additives & chemicals,building_supplies,building_hardware,0,6.5
10,"Bostik Frostproofer, 1L Jerry can",/images/products/bostik-frostproofer-1l-jerry-can~5010591004160_01bq_$MOB_PREV$&$width=500&$height=500.png,"Accelerates setting times in cold conditions, making it particularly effective at improving the workability concrete and mortar.",Additives & chemicals,building_supplies,building_hardware,0,4.82
11,"Sandtex Stabilising solution, 2.5L Tub",/images/products/sandtex-stabilising-solution-2-5l-tub~5010131363764_08c_bq_$MOB_PREV$&$width=500&$height=500.png,"Ideal for heavy duty cleaning, this 2.5L stabilising solution from Sandtex is great for domestic cleaning on exterior walls, paths & patios.",Additives & chemicals,building_supplies,building_hardware,0,22.0
12,"Bostik Cementone Yellow Waterproofing & air entraining admixture, 5L Plastic jerry can 5.59kg",/images/products/bostik-cementone-yellow-waterproofing-air-entraining-admixture-5l-plastic-jerry-can-5-59kg~5011734001268_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Accelerator & Frostproofer accelerates the setting of mortar mixes year-round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Plasticises and accelerates setting time of mortar mixes. Chloride-free, ideal for mortars with embedded metal. Ideal for Winter & cold weather use.",Additives & chemicals,building_supplies,building_hardware,0,11.4
13,"Bostik Smart adhesives Orange Waterproofing & air entraining admixture, 5L Plastic jerry can",/images/products/bostik-smart-adhesives-orange-waterproofing-air-entraining-admixture-5l-plastic-jerry-can~5011734001367_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"This waterproofer & retarder provides protection against driving rain and damp conditions, and extends the mix setting time to allow larger areas to be worked in a single application. It also improves the workability of the mortar and has been specifically designed to be used in pebble dashing & rendering and general above ground waterproofing work. Retarder, waterproofer and plasticiser. Slows setting time of mortar - ideal for large areas. Reduces water penetration of mortar. Makes mortar easier to work",Additives & chemicals,building_supplies,building_hardware,0,8.44
14,"One Coat Damp Seal White Waterproofer, 2.5L Tin, 2.5L",/images/products/one-coat-damp-seal-white-waterproofer-2-5l-tin-2-5l~5010214869589_02c_bq_$MOB_PREV$&$width=500&$height=500.png,"It dries in 4 hours and comes in an easily storable tin can. For added convenience, you'll only need to apply one coat to your walls. Ready to paint over in 4 hours. No need for preparation",Additives & chemicals,building_supplies,building_hardware,0,40.0
15,"Ronseal White Waterproof sealing compound, 0.4L Tin",/images/products/ronseal-white-waterproof-sealing-compound-0-4l-tin~5010214869596_02c_$MOB_PREV$&$width=500&$height=500.png,"This 400ml damp seal from Ronseal is ideal for covering damp, water & other household stains, and is a must have purchase for any redecorating project around the interior of your home. It dries in 10 minutes and comes in an easily storable tin can. This aerosol damp seal permanently blocks damp stains, preventing damage to your top coat. It dries in just 10 minutes for a quicker job and because there are no brushes to clean up when you're finished, sealing your walls couldn't be easier. Can be applied directly to damp walls and ceilings. Quick drying2-3 coats required, recoat in 10 minutes.",Additives & chemicals,building_supplies,building_hardware,0,12.0
16,Bostik Grey Tanking slurry Bag,/images/products/bostik-grey-tanking-slurry-bag~5010591540170_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Tanking Slurry is a breathable, waterproof coating for sound internal brickwork, concrete and stone. It resists positive and negative water pressure and is water vapour permeable. Waterproof coating for brickwork, concrete & stone. Resists positive and negative water pressure. Waterproof",Additives & chemicals,building_supplies,building_hardware,0,39.0
17,"Tarmac Edging & jointing spray, 0.15L Aerosol",/images/products/tarmac-edging-jointing-spray-0-15l-aerosol~5030349010595_02c_$MOB_PREV$&$width=500&$height=500.png,Improving bond. Seals cracks instantly,Additives & chemicals,building_supplies,building_hardware,0,8.19
18,Bostik Red Powder colour Tub,/images/products/bostik-red-powder-colour-tub~5010591004207_01i_BQ_$MOB_PREV$&$width=500&$height=500.png,"Wear suitable protective clothing, gloves and goggles when using this product. Suitable for concrete, mortar, renders (e.g. walls, swimming pools) & flooring (sand/cement screeds & granolithic floor)Does not affect the performance of mix.",Additives & chemicals,building_supplies,building_hardware,0,10.4
19,Bostik White Concrete fibres Bag,/images/products/bostik-white-concrete-fibres-bag~5010591006041_01bq_$MOB_PREV$&$width=500&$height=500.png,"Can be used with mortar, floor slabs, hard standing, pathways & driveways.",Additives & chemicals,building_supplies,building_hardware,0,30.0
20,"Bostik Cement colours Black Liquid colour, 1L Plastic jerry can",/images/products/bostik-cement-colours-black-liquid-colour-1l-plastic-jerry-can~5000403110356_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Liquid Colours for Cement are a high quality pigment dispersion for colouring cement mixes such as mortar, render and screeds. Bostik Liquid Colours for Cement are suitable for colouring mortar and render and sand/cement screeds.",Additives & chemicals,building_supplies,building_hardware,0,11.09
21,Bostik White Concrete fibres Bag,/images/products/bostik-white-concrete-fibres-bag~5010591006041_01bq_$MOB_PREV$&$width=500&$height=500.png,"This product is formulated to reduce cracking and shrinkage in mortar & concrete. Can be used with mortar, floor slabs, hard standing, pathways & driveways. Enough for 250kg of mortar or concrete. Minimises cracking and shrinkage",Additives & chemicals,building_supplies,building_hardware,0,30.0
22,"Bostik Black Waterproofer, 2.5L Metal container",/images/products/bostik-black-waterproofer-2-5l-metal-container~5021523217039_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Not CE marked. Bostik Bituminous Black Paint is a solvent-based protective coating for external waterproofing and weather protection of ferrous and non-ferrous metals, concrete, roofing felt, fibre cement, corrugated iron, asphalt and wood. Weather protection for metalwork and roofs. For wood, metal, roofing felt & cement.",Additives & chemicals,building_supplies,building_hardware,0,17.34
23,Bostik Cementone Green Walls Plasterer's stabilising primer,/images/products/bostik-cementone-stabilising-primer-5l-tub~5010591365933_02c_$MOB_PREV$&$width=500&$height=500.png,Primes & stabilises problem surfaces on previously plastered walls. Primes and stabilises problem surfaces on previously plastered walls.,Additives & chemicals,building_supplies,building_hardware,0,35.0
24,"Polycell Primer, 2.5L Tub",/images/products/polycell-primer-2-5l-tub~5010212550694_07c_bq_$MOB_PREV$&$width=500&$height=500.png,"Ideal for heavy duty cleaning, this 2.5L primer from Polycell is great for sealing, stabilising & preparing flaky, powdery or absorbent surfaces, providing a sound foundation that's ready to paint on exterior walls & ceilings. Applied with a roller & masking tape leaving a professional finish, once dried.",Additives & chemicals,building_supplies,building_hardware,0,27.0
25,"Bostik Smart adhesives Dark brown Concentrated mortar plasticiser, 1L Plastic bottle",/images/products/bostik-smart-adhesives-dark-brown-concentrated-mortar-plasticiser-1l-plastic-bottle~5000403109862_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Concentrated Mortar Plasticiser improves the workability and freeze thaw resistance of mortar without the addition of lime. It's suitable for use in mortars for bricklaying, pointing, blockwork and rendering. Improves the workability and freeze/thaw resistance of mortars without adding lime.",Additives & chemicals,building_supplies,building_hardware,0,11.7
26,"Bostik Cement colours Red Liquid colour, 1L Plastic jerry can",/images/products/bostik-cement-colours-red-liquid-colour-1l-plastic-jerry-can~5000403110363_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Bostik Liquid Colours for Cement are a high quality pigment dispersion for colouring cement mixes such as mortar, render and screeds. Bostik Liquid Colours for Cement are suitable for colouring mortar and render and sand/cement screeds.",Additives & chemicals,building_supplies,building_hardware,0,8.53
27,"Gyproc Magnolia Drywall primer, 10L Tub",/images/products/gyproc-magnolia-drywall-primer-10l-tub~5015341090769_02c_bq_$MOB_PREV$&$width=500&$height=500.png,Priming before applying plaster,Additives & chemicals,building_supplies,building_hardware,0,83.0
28,"20mm Gravel, Bulk Bag",/images/products/20mm-gravel-bulk-bag~5030349002675_02c_wid=500&hei=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,1,70.0
29,"10mm Gravel, Bulk Bag",/images/products/20mm-gravel-bulk-bag~5030349002675_02c_wid=500&hei=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,1,70.0
30,"All-in Ballast, Bulk Bag",/images/products/all-in-ballast-bulk-bag~5030349002651_02c_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,1,70.0
31,"20mm Limestone Chippings, Bulk Bag",/images/products/20mm-limestone-chippings-bulk-bag~5030349002699_03c_bq_$MOB_PREV$&$width=500&$height=500.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.",Aggregates & sand,building_supplies,building_hardware,1,70.0
32,"MOT type 1 Subbase, Bulk Bag",/images/products/mot-type-1-subbase-bulk-bag~5030349002750_02c_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,1,70.0
33,"Tarmac Subbase, Large Bag",/images/products/mot-type-1-subbase-bulk-bag~5030349002750_02c_wid=500&hei=500.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture",Aggregates & sand,building_supplies,building_hardware,0,4.95
34,"Tarmac 20mm Gravel, Large Bag",/images/products/tarmac-20mm-gravel-large-bag~5030349012360_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,3.7
35,"Tarmac Sharp sand, Large Bag, 22.5kg",/images/products/tarmac-sharp-sand-large-bag-22-5kg~5030349012445_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,"Ideal for screeding, paths, blocks & slabs and concrete mixing.",Aggregates & sand,building_supplies,building_hardware,0,3.23
36,"Tarmac All-in Ballast, Large Bag",/images/products/tarmac-all-in-ballast-large-bag~5030349012391_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,Pre blended aggregates for use in concrete mixes with cement and water. Can be used to fill voids in construction projects.,Aggregates & sand,building_supplies,building_hardware,0,3.68
37,"Building sand, Bulk Bag",/images/products/building-sand-bulk-bag~5030349002705_02c_bq_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,70.0
38,Blooma Play sand 22.5kg,/images/products/blooma-play-sand-22-5kg~5030349012162_01c_bq_$MOB_PREV$&$width=500&$height=500.png,Keep your children busy for hours and enjoying the outdoors with this bag of play-sand. Suitable for use in children's sand pits.,Aggregates & sand,building_supplies,building_hardware,0,7.5
39,"Tarmac Kiln dried Paving sand, Large Bag",/images/products/tarmac-kiln-dried-paving-sand-large-bag~5030349011363_02c_$MOB_PREV$&$width=500&$height=500.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.",Aggregates & sand,building_supplies,building_hardware,0,6.8
40,"Tarmac Grano dust, Bulk Bag",/images/products/tarmac-grano-dust-bulk-bag~5030349002736_36c_$MOB_PREV$&$width=500&$height=500.png,"Mix this bag of grano dust with cement to make a fine concrete, ideal for outdoor building and construction applicationsCE marked",Aggregates & sand,building_supplies,building_hardware,0,64.0
41,"Sharp sand, Bulk Bag",/images/products/sharp-sand-bulk-bag~5030349002644_02c_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etcA coarse sand used in screeding, block and slab laying applications and also for concrete mixing.",Aggregates & sand,building_supplies,building_hardware,0,70.0
42,"10mm Limestone Chippings, Bulk Bag",/images/products/10mm-limestone-chippings-bulk-bag~5030349002682_03c_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,70.0
43,"Tarmac 10mm Gravel, Large Bag",/images/products/tarmac-10mm-gravel-large-bag~5030349012353_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,3.92
44,Tarmac Sand 20kg Bag,/images/products/tarmac-sand-20kg-bag~5030349012124_08c_BQ_$MOB_PREV$&$width=500&$height=500.png,Features and benefitsPH balanced. Helps water drain from growing media. Waterproof packaging can be stored outside,Aggregates & sand,building_supplies,building_hardware,0,5.5
45,"Tarmac Building sand, Large Bag",/images/products/tarmac-building-sand-large-bag~5030349012407_01c_BQ_$MOB_PREV$&$width=500&$height=500.png,Mix with cement and water to make bricklaying mortar. For use in bricklaying and internal rendering.,Aggregates & sand,building_supplies,building_hardware,0,2.98
46,"Tarmac Plastering sand, Large Bag",/images/products/tarmac-plastering-sand-large-bag~5030349012438_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,4.75
47,"Tarmac 20mm Limestone Chippings, Large Bag",/images/products/tarmac-20mm-limestone-chippings-large-bag~5030349012384_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc. For use in concreting applications. Use to create high strength concrete mixes. Not for decorative use",Aggregates & sand,building_supplies,building_hardware,0,6.85
48,"Tarmac 10mm Limestone Chippings, Large Bag",/images/products/tarmac-10mm-limestone-chippings-large-bag~5030349012377_01c_bq_$MOB_PREV$&$width=500&$height=500.png,This limestone is suitable for concreting applications to give finer concrete mixes. ideal for pathways & drives..Not for decorative use. Not for decorative use.,Aggregates & sand,building_supplies,building_hardware,0,6.85
49,Tarmac Weed Free Paving sand 20kg Bag,/images/products/tarmac-10mm-limestone-chippings-large-bag~5030349012377_01c_bq_wid=500&hei=500.png,"This paving sand from Tarmac is specially formulated to prevent weed growth in the joints between paving slabs & blocks. It is suitable for use with any paving project and is an organic method of inhibiting unwanted weed growth. Inhibits growth of weeds, algae & lichens.",Aggregates & sand,building_supplies,building_hardware,0,13.23
50,"Plastering sand, Bulk Bag",/images/products/plastering-sand-bulk-bag~5030349002712_02c_$MOB_PREV$&$width=500&$height=500.png,"Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,0,70.0
51,"Tarmac Red Building sand, Large Bag",/images/products/tarmac-red-building-sand-large-bag~5030349012841_01c_$MOB_PREV$&$width=500&$height=500.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture",Aggregates & sand,building_supplies,building_hardware,0,2.87
52,Hyundai Silent 230V 24L Corded Compressor HY7524,/images/products/hyundai-silent-230v-24l-corded-compressor-hy7524~5056275722722_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Weighing only 22kg the HY7524 whisper compressor is lighter than your conventional piston type air compressor and is completely oil-free, so there is no risk of oil contamination in the air supply. Low noise air compressor. Hyundai 750w / 230v direct drive electric motor with UK 3-pin 13amp plug.24 litre tank capacity provides an air displacement of 5.2CFM / 150 litres per minute and a maximum pressure of 100psi / 7bar. Pressure regulator with twin pressure gauges and twin quick release ‘Euro’ type air connectors and water / condensation trap. Includes automatic cut out switch, safety valve and pressure regulator.",Air compressors,equipment,tools_equipment,0,150.0
53,Hyundai Silent 230V 8L Corded Compressor HY5508,/images/products/hyundai-silent-230v-8l-corded-compressor-hy5508~5056275722715_01c_bq_$MOB_PREV$&$width=500&$height=500.png,"Weighing only 15kg the HY5508 whisper compressor is lighter than your conventional piston type air compressor and is completely oil-free, so there is no risk of oil contamination in the air supply. The HY5508 features 4 robust rubber mounted feet and a carry handle for easy manoeuvrability. Powered by a 550w motor directly connected to the oil-less air compressor pump and rubber mounted for low vibration, makes it ideal for the home, light workshop or garage use and is powered by standard mains 230v supply. This maintenance-free compressor uses an oil-free diaphragm pump to produce a clean air supply and considerably reduce noise compared to conventional piston compressors. Hyundai's Silent 8 Litre Small Air Compressor- OIL Free Operation & Duty cycle of 25%.Powered By: 550 Watt, 230V Electric-Direct Drive Motor, Coupled With A UK 3-Pin, 13 Amp Plug , Suitable for Home or Workshop Use. Hyundai's HY5508 Silent Air Compressor Provides an Air Displacement of 4 CFM or 120 Litres / Minute at 100 PSI. Ideal For Air Brush Spraying And Home UseSuperior Design: Fitted with An Automatic Cut Out Switch, Air Release and Euro Quick-Release Air Connections For All User RequirementsUltra Lightweight & Manoeuvrable: The Air Compressor Weights Just 15KG - Coupled With 4 Robust Rubber Feet & Carry Handle It's Hyundai's Alternative for a Portable Yet Powerful Compressor",Air compressors,equipment,tools_equipment,0,120.0
54,Stanley DST 100/8/6/SI 6L Silent Air Compressor,/images/products/stanley-dst-100-8-6-si-6l-silent-air-compressor~8016738772418_01c_MP_$MOB_PREV$&$width=500&$height=500.png,"The Stanley compressor Silent DST 100/8/6 has a 6 liter tank with a working pressure of 8 bar. The biggest advantage of the compressor is that it produces a maximum of 59 dB. As a result, it is always whisper quiet. Tank capacity: 6 liters
Intended Use:Inflatable Item, Paint Gun, Grease Gun, Tires, Fluid Gun, Tacker, Caulking Gun, Sandblaster
Power source: Mains voltage. Ultra-silent compressor for home and professional use.",Air compressors,equipment,tools_equipment,0,159.0
55,Scheppach HC51V 1500W 50 LTR Air Compressor - Oil Free,/images/products/stanley-dst-100-8-6-si-6l-silent-air-compressor~8016738772418_01c_MP_wid=500&hei=500.png,"Compact and portable, the HC51V is a verticle air compressor that offers a perfect combination of performance and mobility in the one unit. It features a powerful 2.0 hp motor, 24 litre tank capacity, and with a maximum 10 bar operating pressure. It also features two quick release couplings to supply air to 2 x air tools at the same time. The ideal machine for operating such air tools as staplers, nailers, ratchets, impact wrench, air hammer, paint spraying, tyre inflation, and blow cleaning. A perfect partner for maintenance jobs in the workshop, garage, garden, and around the home. W motor50 Litre capacity air tank10 bar / 145 psi max. operating pressure180 L/min air intake capacity. Long life oil free air pump. Long life oil-free air pump - Maintenance free",Air compressors,equipment,tools_equipment,0,199.98
56,Black + Decker 195/6 NK Air Compressor,/images/products/black-decker-195-6-nk-air-compressor~8016738766950_01c_MP_$MOB_PREV$&$width=500&$height=500.png,"This compressor sucks in enough air to perform the necessary work. Think of inflating an air mattress or bicycle tire, or using a tacker. Tank capacity: 6 liters
Intended Use: Inflatable Item, Paint Sprayer, Liquid Sprayer, Sandblaster
Power source: Mains voltage
Pump capacity: 180 L/min. Versatile and easy to use, ideal for all hobby and semi-professional applications. Compact ON/OFF KnobEasy to handle thanks to built-in metal handle",Air compressors,equipment,tools_equipment,0,125.0
57,BOSCH EasyPump Cordless Pneumatic Air Pump (0603947000),/images/products/bosch-easypump-cordless-pneumatic-air-pump-0603947000-~3165140997010_01c_MP_$MOB_PREV$&$width=500&$height=500.png,Features and benefitsBOSCH EasyPump Cordless Pneumatic Air Pump (0603947000)Inflation of up to 10.3 bar with real-time measurement and pre-select function. Maxpressure: 150 PSI / 10.3 bar / 1050 k.,Air compressors,equipment,tools_equipment,0,89.95
